"Date","Price","Open","High","Low","Change %"
"09/29/2022","15.4100","15.4100","15.4100","15.4100","-8.60%"
"09/28/2022","16.8600","16.8600","16.8600","16.8600","16.68%"
"09/27/2022","14.4500","14.4500","14.4500","14.4500","0.07%"
"09/26/2022","14.4400","14.4400","14.4400","14.4400","0.00%"
"09/23/2022","14.4400","14.4400","14.4400","14.4400","3.51%"
"09/22/2022","13.9500","13.9500","13.9500","13.9500","-0.07%"
"09/21/2022","13.9600","13.9600","13.9600","13.9600","0.00%"
"09/20/2022","13.9600","13.9600","13.9600","13.9600","-0.71%"
"09/19/2022","14.0600","14.0600","14.0600","14.0600","0.00%"
"09/16/2022","14.0600","14.0600","14.0600","14.0600","0.00%"
"09/15/2022","14.0600","14.0600","14.0600","14.0600","0.00%"
"09/14/2022","14.0600","14.0600","14.0600","14.0600","0.00%"
"09/13/2022","14.0600","14.0600","14.0600","14.0600","0.00%"
"09/12/2022","14.0600","14.0600","14.0600","14.0600","-2.77%"
"09/09/2022","14.4600","14.4600","14.4600","14.4600","2.84%"
"09/08/2022","14.0600","14.0600","14.0600","14.0600","3.38%"
"09/07/2022","13.6000","13.6000","13.6000","13.6000","-3.55%"
"09/06/2022","14.1000","14.1000","14.1000","14.1000","0.28%"
"09/05/2022","14.0600","14.0600","14.0600","14.0600","0.00%"
"09/02/2022","14.0600","14.0600","14.0600","14.0600","21.00%"
"09/01/2022","11.6200","11.6200","11.6200","11.6200","0.00%"
"08/31/2022","11.6200","11.6200","11.6200","11.6200","0.00%"
"08/30/2022","11.6200","11.6200","11.6200","11.6200","0.09%"
"08/29/2022","11.6100","11.6100","11.6100","11.6100","-0.09%"
"08/26/2022","11.6200","11.6200","11.6200","11.6200","0.00%"
"08/25/2022","11.6200","11.6200","11.6200","11.6200","0.00%"
"08/24/2022","11.6200","11.6200","11.6200","11.6200","9.11%"
"08/23/2022","10.6500","10.6500","10.6500","10.6500","0.00%"
"08/22/2022","10.6500","10.6500","10.6500","10.6500","0.09%"
"08/19/2022","10.6400","10.6400","10.6400","10.6400","-0.09%"
"08/18/2022","10.6500","10.6500","10.6500","10.6500","0.00%"
"08/17/2022","10.6500","10.6500","10.6500","10.6500","0.00%"
"08/16/2022","10.6500","10.6500","10.6500","10.6500","0.09%"
"08/15/2022","10.6400","10.6400","10.6400","10.6400","-8.35%"
"08/12/2022","11.6100","11.6100","11.6100","11.6100","0.00%"
"08/11/2022","11.6100","11.6100","11.6100","11.6100","0.00%"
"08/10/2022","11.6100","11.6100","11.6100","11.6100","0.00%"
"08/09/2022","11.6100","11.6100","11.6100","11.6100","0.00%"
"08/08/2022","11.6100","11.6100","11.6100","11.6100","0.00%"
"08/05/2022","11.6100","11.6100","11.6100","11.6100","0.00%"
"08/04/2022","11.6100","11.6100","11.6100","11.6100","0.00%"
"08/03/2022","11.6100","11.6100","11.6100","11.6100","0.00%"
"08/02/2022","11.6100","11.6100","11.6100","11.6100","0.00%"
"08/01/2022","11.6100","11.6100","11.6100","11.6100","0.09%"
"07/29/2022","11.6000","11.6000","11.6000","11.6000","0.00%"
"07/28/2022","11.6000","11.6000","11.6000","11.6000","-7.72%"
"07/27/2022","12.5700","12.5700","12.5700","12.5700","-0.08%"
"07/26/2022","12.5800","12.5800","12.5800","12.5800","0.00%"
"07/25/2022","12.5800","12.5800","12.5800","12.5800","0.08%"
"07/22/2022","12.5700","12.5700","12.5700","12.5700","0.00%"
"07/21/2022","12.5700","12.5700","12.5700","12.5700","0.00%"
"07/20/2022","12.5700","12.5700","12.5700","12.5700","0.00%"
"07/19/2022","12.5700","12.5700","12.5700","12.5700","0.00%"
"07/18/2022","12.5700","12.5700","12.5700","12.5700","-7.16%"
"07/15/2022","13.5400","13.5400","13.5400","13.5400","16.82%"
"07/14/2022","11.5900","11.5900","11.5900","11.5900","-0.09%"
"07/13/2022","11.6000","11.6000","11.6000","11.6000","0.00%"
"07/12/2022","11.6000","11.6000","11.6000","11.6000","0.00%"
"07/11/2022","11.6000","11.6000","11.6000","11.6000","-9.37%"
"07/08/2022","12.8000","12.8000","12.8000","12.8000","8.20%"
"07/07/2022","11.8300","11.8300","11.8300","11.8300","0.00%"
"07/06/2022","11.8300","11.8300","11.8300","11.8300","-22.98%"
"07/05/2022","15.3600","15.3600","15.3600","15.3600","35.21%"
"07/04/2022","11.3600","11.3600","11.3600","11.3600","4.60%"
"07/01/2022","10.8600","10.8600","10.8600","10.8600","0.00%"
"06/30/2022","10.8600","10.8600","10.8600","10.8600","-0.09%"
"06/29/2022","10.8700","10.8700","10.8700","10.8700","-4.31%"
"06/28/2022","11.3600","11.3600","11.3600","11.3600","4.60%"
"06/27/2022","10.8600","10.8600","10.8600","10.8600","0.09%"
"06/24/2022","10.8500","10.8500","10.8500","10.8500","5.85%"
"06/23/2022","10.2500","10.2500","10.2500","10.2500","0.00%"
"06/22/2022","10.2500","10.2500","10.2500","10.2500","4.17%"
"06/21/2022","9.8400","9.8400","9.8400","9.8400","3.14%"
"06/20/2022","9.5400","9.5400","9.5400","9.5400","-4.02%"
"06/17/2022","9.9400","9.9400","9.9400","9.9400","3.11%"
"06/16/2022","9.6400","9.6400","9.6400","9.6400","0.00%"
"06/15/2022","9.6400","9.6400","9.6400","9.6400","0.10%"
"06/14/2022","9.6300","9.6300","9.6300","9.6300","-0.10%"
"06/13/2022","9.6400","9.6400","9.6400","9.6400","0.00%"
"06/10/2022","9.6400","9.6400","9.6400","9.6400","0.00%"
"06/09/2022","9.6400","9.6400","9.6400","9.6400","0.10%"
"06/08/2022","9.6300","9.6300","9.6300","9.6300","-0.10%"
"06/07/2022","9.6400","9.6400","9.6400","9.6400","0.00%"
"06/06/2022","9.6400","9.6400","9.6400","9.6400","0.00%"
"06/03/2022","9.6400","9.6400","9.6400","9.6400","0.10%"
"06/02/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"06/01/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/31/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/30/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/27/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/26/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/25/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/24/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/23/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/20/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/19/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/18/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/17/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/16/2022","9.6300","9.6300","9.6300","9.6300","5.59%"
"05/13/2022","9.1200","9.1200","9.1200","9.1200","-5.20%"
"05/12/2022","9.6200","9.6200","9.6200","9.6200","0.00%"
"05/11/2022","9.6200","9.6200","9.6200","9.6200","0.00%"
"05/10/2022","9.6200","9.6200","9.6200","9.6200","0.00%"
"05/09/2022","9.6200","9.6200","9.6200","9.6200","-0.10%"
"05/06/2022","9.6300","9.6300","9.6300","9.6300","0.00%"
"05/05/2022","9.6300","9.6300","9.6300","9.6300","5.48%"
"05/04/2022","9.1300","9.1300","9.1300","9.1300","7.16%"
"05/03/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"05/02/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/29/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/28/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/27/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
"04/26/2022","8.5200","8.5200","8.5200","8.5200","0.00%"
